product_name	chunks	result
 Sneakers Chain Reaction 	sneakers chain reaction	sneakers chain reaction
 sac fourre-tout ceinture	sac fourre,-tout ceinture	sac fourre tout ceinture
1 Moncler JW Anderson - Doudoune courte Helvellyn	1 moncler,jw anderson - doudoune courte,helvellyn	 moncler jw anderson  doudoune courte helvellyn 1
1 Moncler JW Anderson - Doudoune courte Wintefold	1 moncler,jw anderson - doudoune courte,wintefold	 moncler jw anderson  doudoune courte wintefold 1
1 Moncler JW Anderson - Doudoune en denim Penygarder	1 moncler,jw anderson,- doudoune,en denim penygarder	 moncler jw anderson  doudoune en denim penygarder 1
1 Moncler JW Anderson - Doudoune en denim Whinfell	1 moncler,jw anderson,- doudoune,en denim whinfell	 moncler jw anderson  doudoune en denim whinfell 1
1 Moncler JW Anderson - Doudoune sans manches en denim Dalby	1 moncler,jw anderson,- doudoune,sans manches,en denim dalby	 moncler jw anderson  doudoune 如: en denim dalby 1
1 Moncler JW Anderson - Jean délavé	1 moncler,jw anderson - jean délavé	 moncler jw anderson  jean délavé 1
1 Moncler JW Anderson - Jupe en coton imprimé	1 moncler,jw anderson,- jupe,en coton,imprimé	 moncler jw anderson  jupe cotton print 1
1 Moncler JW Anderson - Sweat avec logo	1 moncler,jw anderson -,sweat,avec logo	 moncler jw anderson  sweat with logo 1
1 Moncler JW Anderson - Sweat à capuche en polaire imprimé	1 moncler,jw anderson -,sweat,à capuche,en polaire,imprimé	 moncler jw anderson  sweat 毛皮 in polar print 1
1 Moncler JW Anderson - T-shirt avec logo	1 moncler,jw anderson - t-,shirt,avec logo	 moncler jw anderson  t shirt with logo 1
1017 ALYX 9SM - Sweatshirt à capuche	1017 alyx,9sm - sweatshirt,à capuche	 alyx sm  sweatshirt 毛皮 1017 9sm
1017 ALYX 9SM - T-shirt	1017 alyx,9sm - t,-,shirt	 alyx sm  t  shirt 1017 9sm
1017 ALYX 9SM - Veste Cosmos	1017 alyx,9sm - veste,cosmos	 alyx sm  veste cosmos 1017 9sm
1845 Mini coffre	1845 mini coffre	 mini coffre 1845
1952 - Cardigan	1952,- cardigan	  cardigan 1952
1952 - Chaussures Terry	1952,- chaussures terry	  chaussures terry 1952
1952 - Doudoune Sawyer	1952,- doudoune sawyer	  doudoune sawyer 1952
1952 - Gilet Nambour	1952 - gilet nambour	  gilet nambour 1952
1952 - Hoodie	1952,- hoodie	  hoodie 1952
1952 - Pantalon	1952,- pantalon	  pantalon 1952
1952 - Pantalon plissé	1952,- pantalon plissé	  pantalon plissé 1952
1952 - Pull	1952,- pull	  pull 1952
1952 - T-shirt	1952,- t,-,shirt	  t  shirt 1952
1952 - Veste Creil	1952,- veste creil	  veste creil 1952
2 Moncler 1952 - Doudoune sans manches	2 moncler,1952 - doudoune,sans manches	 moncler   doudoune 如: 2 1952
2 Moncler 1952 - Pantalon de jogging	2 moncler,1952 - pantalon,de jogging	 moncler   pantalon jogging 2 1952
2 Moncler 1952 - Pull à col montant	2 moncler,1952 - pull,à col,montant	 moncler   pull ,,,,,,,,,,,,,,,, montant 2 1952
2 Moncler 1952 - Short	2 moncler,1952 - short	 moncler   short 2 1952
2 Moncler 1952 - Sweatshirt à logo	2 moncler,1952 - sweatshirt,à logo	 moncler   sweatshirt 标记 2 1952
2 Moncler 1952 - T-shirt à logo	2 moncler,1952 - t,-,shirt,à logo	 moncler   t  shirt 标记 2 1952
2 Moncler 1952 - Veste Wolin	2 moncler,1952 - veste,wolin	 moncler   veste wolin 2 1952
5 Moncler Craig Green - Blouson Actinemys	5 moncler,craig green,- blouson actinemys	 moncler craig green  blouson actinemys 5
5 Moncler Craig Green - Blouson Clonophis	5 moncler,craig green,- blouson clonophis	 moncler craig green  blouson clonophis 5
5 Moncler Craig Green - Blouson Oxybelis	5 moncler,craig green,- blouson,oxybelis	 moncler craig green  blouson oxybelis 5
5 Moncler Craig Green - Pantalon Nylon	5 moncler,craig green,- pantalon nylon	 moncler craig green  pantalon nylon 5
