product_name	chunks	lang_id
 Sneakers Chain Reaction 	sneakers chain reaction	en
 sac fourre-tout ceinture	sac,fourretout ceinture	en,fr
1 Moncler JW Anderson - Doudoune courte Helvellyn	moncler,jw anderson,doudoune courte,helvellyn	en,en,fr,en
1 Moncler JW Anderson - Doudoune courte Wintefold	moncler,jw anderson,doudoune courte,wintefold	en,en,fr,en
1 Moncler JW Anderson - Doudoune en denim Penygarder	moncler,jw anderson,doudoune,en denim penygarder	en,en,en,en
1 Moncler JW Anderson - Doudoune en denim Whinfell	moncler,jw anderson,doudoune,en denim whinfell	en,en,en,en
1 Moncler JW Anderson - Doudoune sans manches en denim Dalby	moncler,jw anderson,doudoune,sans manches,en denim dalby	en,en,en,fr,en
1 Moncler JW Anderson - Jean délavé	moncler,jw anderson,jean délavé	en,en,fr
1 Moncler JW Anderson - Jupe en coton imprimé	moncler,jw anderson,jupe,en coton,imprimé	en,en,en,fr,fr
1 Moncler JW Anderson - Sweat avec logo	moncler,jw anderson,sweat,avec logo	en,en,en,fr
1 Moncler JW Anderson - Sweat à capuche en polaire imprimé	moncler,jw anderson,sweat,à capuche,en polaire,imprimé	en,en,en,fr,fr,fr
1 Moncler JW Anderson - T-shirt avec logo	moncler,jw anderson,tshirt,avec logo	en,en,en,fr
1017 ALYX 9SM - Sweatshirt à capuche	alyx,sm  sweatshirt à capuche	en,fr
1017 ALYX 9SM - T-shirt	alyx,sm  tshirt	en,en
1017 ALYX 9SM - Veste Cosmos	alyx,sm  veste cosmos	en,en
1845 Mini coffre	mini coffre	fr
1952 - Cardigan	cardigan	en
1952 - Chaussures Terry	chaussures,terry	fr,en
1952 - Doudoune Sawyer	doudoune sawyer	en
1952 - Gilet Nambour	gilet nambour	en
1952 - Hoodie	hoodie	en
1952 - Pantalon	pantalon	en
1952 - Pantalon plissé	pantalon plissé	fr
1952 - Pull	pull	en
1952 - T-shirt	tshirt	en
1952 - Veste Creil	veste creil	fr
2 Moncler 1952 - Doudoune sans manches	moncler,doudoune,sans manches	en,en,fr
2 Moncler 1952 - Pantalon de jogging	moncler,pantalon,de jogging	en,en,fr
2 Moncler 1952 - Pull à col montant	moncler,pull,à col,montant	en,en,fr,en
2 Moncler 1952 - Short	moncler,short	en,en
2 Moncler 1952 - Sweatshirt à logo	moncler,sweatshirt à logo	en,fr
2 Moncler 1952 - T-shirt à logo	moncler,tshirt,à logo	en,en,fr
2 Moncler 1952 - Veste Wolin	moncler,veste,wolin	en,en,en
5 Moncler Craig Green - Blouson Actinemys	moncler,craig green  blouson actinemys	en,en
5 Moncler Craig Green - Blouson Clonophis	moncler,craig green  blouson clonophis	en,en
5 Moncler Craig Green - Blouson Oxybelis	moncler,craig green  blouson,oxybelis	en,en,en
5 Moncler Craig Green - Pantalon Nylon	moncler,craig green  pantalon nylon	en,en
5 Moncler Craig Green - Pantalons À Coulisse	moncler,craig green  pantalons,à coulisse	en,en,fr
5 Moncler Craig Green - Sweatshirt Imprimé Grenouille	moncler,craig green  sweatshirt imprimé grenouille	en,fr
5 Moncler Craig Green - T-Shirt Imprimé Grenouille	moncler,craig green  tshirt imprimé,grenouille	en,fr,fr
50 Chapeau 50 Grammes De Qualité Supérieure	chapeau,grammes,de qualité,supérieure	en,en,fr,fr
50 Chapeau À Bord Moyen Grammes	chapeau,à bord,moyen grammes	en,fr,fr
6 Moncler 1017 Alyx 9SM - Doudoune courte Almondy	moncler,alyx,sm  doudoune courte,almondy	en,en,fr,en
6 Moncler 1017 Alyx 9SM - Gilet en nylon Fraxinus	moncler,alyx,sm  gilet,en nylon,fraxinus	en,en,en,en,en
6 Moncler 1017 Alyx 9SM - Pantalon de jogging	moncler,alyx,sm  pantalon,de jogging	en,en,en,fr
6 Moncler 1017 Alyx 9SM - Pull zippé	moncler,alyx,sm  pull,zippé	en,en,en,fr
7 Moncler Frgmt Hiroshi Fujiwara - Pantalon à pinces	moncler frgmt,hiroshi fujiwara  pantalon,à pinces	en,en,fr
7 Moncler Frgmt Hiroshi Fujiwara - Sweat étoiles imprimées	moncler frgmt,hiroshi fujiwara  sweat étoiles,imprimées	en,fr,fr
